episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
65,60.015625,42,,,,7,11,1,16,,,19,10,10,1,,,1,20,0,4,,,6,6,5,0,,,1,0,7,1,,,0,23,19,21,,,6,11,11,1,,,0,18,19,2,,,0,15,7,0,,,6.0,8.0,6.0,24.0,,,,,,
66,60.046875,42,,,,19,4,6,16,,,19,20,1,23,,,19,21,10,14,,,15,0,6,2,,,7,13,19,5,,,9,1,19,9,,,19,25,5,1,,,3,29,8,15,,,6,7,19,26,,,19.0,6.0,14.0,22.0,,,,,,
67,60.03125,42,,,,1,19,1,5,,,10,21,6,7,,,10,27,19,1,,,11,28,0,0,,,0,5,3,1,,,4,29,0,13,,,18,14,10,14,,,1,25,1,27,,,6,1,16,14,,,1.0,10.0,10.0,19.0,,,,,,
68,60.03125,42,,,,16,0,17,0,,,11,1,12,14,,,6,28,19,7,,,18,28,2,1,,,7,7,16,1,,,19,18,7,5,,,19,28,1,12,,,10,20,1,9,,,12,15,10,14,,,1.0,28.0,6.0,1.0,,,,,,
69,60.015625,42,,,,0,23,0,8,,,6,25,19,20,,,11,28,14,22,,,6,1,4,1,,,19,19,0,9,,,15,29,0,11,,,7,15,1,26,,,19,15,10,17,,,6,27,0,15,,,1.0,1.0,19.0,26.0,,,,,,
70,0.4375,42,43.0,43.0,42.0,2,0,15,29,22.0,21.0,8,0,0,13,9.0,8.0,16,1,19,6,37.0,36.0,5,29,13,1,18.0,17.0,0,10,7,0,8.0,7.0,0,11,1,17,12.0,11.0,18,14,19,24,31.0,30.0,0,25,5,0,14.0,13.0,11,1,7,10,,,,,,,18.0,15.0,7.0,2.0,6.0,16.0
71,60.046875,42,,,,6,18,7,14,,,1,22,2,29,,,6,23,7,10,,,1,4,0,6,,,0,0,6,4,,,4,0,6,21,,,0,25,6,26,,,6,22,10,0,,,18,28,15,29,,,1.0,7.0,7.0,4.0,,,,,,
72,60.046875,42,,,,17,29,12,28,,,8,15,6,4,,,1,29,14,28,,,1,22,6,3,,,6,1,1,26,,,10,22,19,14,,,1,25,7,8,,,19,10,0,11,,,7,7,7,11,,,18.0,28.0,7.0,3.0,,,,,,
73,60.046875,42,,,,18,28,0,20,,,13,22,0,2,,,1,13,19,14,,,1,4,17,0,,,10,24,0,7,,,0,10,1,5,,,6,1,0,25,,,1,1,13,15,,,0,4,10,28,,,19.0,11.0,7.0,6.0,,,,,,
74,60.03125,42,,,,1,25,18,14,,,0,20,9,0,,,10,16,10,27,,,1,22,7,2,,,10,21,1,7,,,12,29,19,6,,,18,1,15,28,,,7,11,19,28,,,0,1,4,0,,,3.0,1.0,1.0,28.0,,,,,,
