episode,cpu_time,seed,total_reward,timesteps,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
75,3.609375,42,13.5,71,1.5,19,26,1,25,1.5,18,14,0,13,1.5,10,21,1,5,1.5,10,27,6,7,1.5,0,5,0,0,1.5,4,29,3,1,1.5,1,19,1,10,1.5,11,28,19,1,1.5,14,22,6,1
76,5.3125,42,3.0,100,0.5,10,14,19,18,0.5,7,7,2,1,0.5,10,19,12,15,0.5,16,0,1,28,0.5,6,28,12,14,0.5,18,28,19,7,0.5,16,14,10,20,0.5,11,1,17,0,-1.0,1,27,19,28
77,4.515625,42,13.5,87,1.5,16,1,19,19,1.5,11,28,14,22,1.5,1,9,19,15,1.5,10,14,6,27,1.5,0,23,0,8,1.5,6,25,19,20,1.5,1,12,7,15,1.5,6,1,1,1,1.5,7,5,15,29
78,2.03125,42,13.5,36,1.5,0,23,2,0,1.5,7,2,6,16,1.5,0,11,5,29,1.5,1,26,0,10,1.5,0,15,0,25,1.5,19,26,11,1,1.5,0,9,16,1,1.5,10,17,18,14,1.5,4,1,8,0
79,4.5,42,13.5,85,1.5,15,29,6,18,1.5,7,10,18,28,1.5,13,1,1,4,1.5,7,0,0,0,1.5,19,24,0,25,1.5,5,0,6,22,1.5,19,6,6,23,1.5,1,17,4,0,1.5,0,13,1,22
80,5.390625,42,3.0,100,-1.0,1,7,6,26,0.5,6,21,6,1,0.5,7,14,7,4,0.5,2,29,17,29,0.5,0,6,1,29,0.5,6,4,1,22,0.5,0,25,15,29,0.5,7,10,8,15,0.5,0,0,10,0
81,3.640625,42,13.5,82,1.5,10,22,6,3,1.5,14,28,1,13,1.5,7,7,7,8,1.5,18,28,0,11,1.5,6,4,7,3,1.5,1,22,13,22,1.5,19,10,19,14,1.5,12,28,7,11,1.5,1,25,1,26
82,3.25,42,13.5,69,1.5,1,4,19,14,1.5,0,2,7,6,1.5,6,1,0,7,1.5,1,1,1,5,1.5,19,11,13,15,1.5,0,20,10,28,1.5,0,10,17,0,1.5,0,4,0,25,1.5,10,24,1,13
83,2.90625,42,13.5,68,1.5,1,25,3,1,1.5,0,1,19,28,1.5,1,22,10,27,1.5,10,21,7,2,1.5,18,1,19,6,1.5,7,11,15,28,1.5,10,16,9,0,1.5,12,29,1,7,1.5,0,20,18,14
84,3.15625,42,13.5,65,1.5,18,14,19,9,1.5,10,24,9,15,1.5,1,26,6,10,1.5,19,11,14,15,1.5,7,2,1,4,1.5,19,22,6,0,1.5,1,28,0,18,1.5,10,1,17,0,1.5,4,0,19,26
