episode,cpu_time,seed,max_steps,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
84,22.875,42,38.0,12.0,11.0,6.0,9.0,8.0,18.0,24.0,15.0,0,9,7,1,38.0,19.0,9,2,0,6,29.0,16.0,4,0,1,9,18.0,17.0,0,18,0,1,,,,,,
85,60.15625,42,,,,,,,,,,2,19,7,9,,,0,11,6,6,,,6,18,5,1,,,5,9,0,6,,,9.0,17.0,0.0,8.0
86,14.171875,42,36.0,9.0,8.0,6.0,7.0,4.0,1.0,25.0,24.0,0,0,6,18,36.0,26.0,0,4,3,15,31.0,21.0,1,19,1,0,12.0,11.0,9,6,3,11,,,,,,
87,31.40625,42,50.0,50.0,24.0,0.0,10.0,6.0,4.0,35.0,25.0,7,19,4,1,45.0,31.0,1,1,5,18,17.0,16.0,3,11,8,0,15.0,14.0,9,17,2,10,,,,,,
88,4.515625,42,25.0,5.0,4.0,6.0,9.0,2.0,9.0,9.0,8.0,9,5,9,13,18.0,17.0,6,2,5,18,19.0,17.0,3,19,3,2,25.0,7.0,0,16,3,16,,,,,,
89,13.875,42,34.0,25.0,19.0,6.0,3.0,3.0,19.0,34.0,23.0,5,18,9,13,8.0,7.0,6,17,0,18,10.0,9.0,2,10,0,17,20.0,14.0,6,11,4,1,,,,,,
90,17.140625,42,32.0,21.0,20.0,5.0,0.0,0.0,15.0,32.0,15.0,6,16,0,13,21.0,12.0,3,14,9,16,5.0,4.0,9,9,9,13,12.0,11.0,4,10,3,0,,,,,,
91,60.109375,42,,,,,,,,,,0,10,6,6,,,3,3,3,14,,,6,7,6,9,,,3,17,9,16,,,8.0,1.0,3.0,15.0
92,56.328125,42,30.0,27.0,25.0,0.0,17.0,6.0,4.0,30.0,21.0,3,15,6,5,10.0,9.0,9,1,3,4,24.0,21.0,1,19,9,10,20.0,19.0,9,14,0,4,,,,,,
93,0.640625,42,23.0,4.0,3.0,3.0,2.0,2.0,0.0,21.0,10.0,3,16,0,11,11.0,10.0,4,10,6,2,3.0,2.0,4,9,3,8,23.0,22.0,0,17,6,1,,,,,,
94,5.359375,42,25.0,25.0,9.0,6.0,4.0,3.0,4.0,13.0,12.0,6,17,2,9,22.0,21.0,5,19,8,1,8.0,7.0,6,11,3,7,9.0,7.0,6,7,1,9,,,,,,
95,0.40625,42,20.0,20.0,19.0,3.0,18.0,5.0,1.0,4.0,3.0,5,10,8,10,9.0,8.0,6,8,7,1,13.0,12.0,3,9,6,0,10.0,9.0,9,15,9,6,,,,,,
96,4.609375,42,20.0,11.0,10.0,0.0,14.0,5.0,9.0,17.0,16.0,9,10,2,19,9.0,8.0,9,2,8,9,20.0,14.0,5,0,2,9,8.0,7.0,7,1,3,4,,,,,,
97,14.765625,42,27.0,10.0,9.0,5.0,9.0,0.0,13.0,15.0,14.0,9,1,0,6,8.0,7.0,3,12,0,8,27.0,26.0,4,19,9,4,24.0,23.0,0,4,8,19,,,,,,
98,3.296875,42,25.0,21.0,20.0,0.0,6.0,4.0,18.0,19.0,18.0,0,9,1,0,5.0,4.0,3,0,7,0,7.0,6.0,6,1,3,4,25.0,8.0,3,6,0,7,,,,,,
99,7.4375,42,19.0,10.0,9.0,7.0,9.0,6.0,17.0,6.0,5.0,9,8,9,3,19.0,18.0,0,1,3,16,8.0,7.0,3,18,3,11,4.0,3.0,8,19,6,18,,,,,,
100,10.96875,42,31.0,23.0,22.0,0.0,17.0,5.0,0.0,11.0,10.0,2,1,3,10,31.0,19.0,6,5,9,15,12.0,11.0,6,13,0,8,25.0,23.0,0,13,9,19,,,,,,
