episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
62,60.03125,42,,,,5,9,7,18,,,6,9,6,11,,,6,18,9,8,,,9,17,5,1,,,8,10,6,19,,,6,7,3,1,,,9,5,9,15,,,4,10,6,8,,,9.0,18.0,8.0,0.0,,,,,,
63,60.03125,42,,,,4,1,6,0,,,9,4,9,15,,,0,8,3,16,,,0,13,9,16,,,5,0,0,12,,,7,0,9,18,,,8,10,0,17,,,3,19,3,1,,,6.0,11.0,8.0,19.0,,,,,,
64,60.046875,42,,,,7,1,5,0,,,9,16,8,0,,,7,9,9,15,,,6,9,4,18,,,3,8,9,5,,,0,0,9,18,,,0,14,9,3,,,3,2,4,1,,,0.0,4.0,3.0,5.0,,,,,,
65,60.03125,42,,,,9,17,5,18,,,2,9,8,10,,,3,15,2,18,,,0,8,9,11,,,8,9,3,19,,,6,11,8,19,,,0,9,2,1,,,1,19,0,4,,,6.0,0.0,0.0,6.0,,,,,,
66,60.046875,42,,,,3,11,6,12,,,9,14,7,19,,,0,5,0,0,,,3,10,9,4,,,0,12,7,1,,,9,12,3,13,,,6,14,8,9,,,7,18,3,12,,,6.0,18.0,9.0,9.0,,,,,,
67,60.03125,42,,,,2,1,6,14,,,0,11,5,10,,,6,8,0,3,,,9,3,7,18,,,3,19,3,14,,,0,0,6,17,,,9,14,9,7,,,5,1,6,6,,,2.0,18.0,6.0,13.0,,,,,,
68,60.046875,42,,,,2,10,6,18,,,2,1,6,4,,,3,16,4,0,,,9,2,3,14,,,5,9,0,13,,,3,8,2,19,,,8,0,5,19,,,9,8,9,6,,,3.0,2.0,9.0,4.0,,,,,,
69,0.328125,42,28.0,5.0,4.0,6,14,6,10,13.0,12.0,0,9,3,2,17.0,16.0,3,7,7,19,17.0,16.0,4,0,3,15,11.0,10.0,6,19,0,15,10.0,9.0,3,17,0,13,11.0,10.0,8,10,6,2,12.0,11.0,5,10,9,3,,,,,,,28.0,26.0,1.0,1.0,9.0,19.0
70,60.046875,42,,,,6,17,0,15,,,7,1,0,11,,,6,5,3,10,,,0,6,0,9,,,3,13,0,7,,,4,19,3,8,,,9,10,1,10,,,1,19,6,0,,,3.0,7.0,0.0,2.0,,,,,,
71,60.015625,42,,,,3,3,5,18,,,4,0,9,17,,,9,15,3,1,,,6,9,3,8,,,9,6,9,8,,,3,7,3,12,,,3,16,2,1,,,7,10,6,1,,,5.0,0.0,3.0,5.0,,,,,,
